index,tag,mask_name,mask_style,mask_path,distance,gxy,z0,ox,oy,splitn,spec,png,exr,duration_sec,attempts
70,b20260409_033055_070_asymmetric_blades,mask_70_asymmetric_blades,asymmetric_blades,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_70_asymmetric_blades.png,7.24462e-07,3.8835e-08,8.555761e-06,1024,1024,12,tungsten,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_070_asymmetric_blades_3839461527.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_070_asymmetric_blades_3839461527.exr,22.336,1
71,b20260409_033055_071_multi_slit,mask_71_multi_slit,multi_slit,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_71_multi_slit.png,1.217501e-06,1.3381e-08,6.617701e-06,1024,1024,11,candle,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_071_multi_slit_2098789397.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_071_multi_slit_2098789397.exr,12.529,1
72,b20260409_033055_072_radial_spokes,mask_72_radial_spokes,radial_spokes,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_72_radial_spokes.png,1.08801e-06,3.7306e-08,5.391925e-06,1024,1024,11,sunset,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_072_radial_spokes_8250340704.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_072_radial_spokes_8250340704.exr,13.381,1
73,b20260409_033055_073_star_polygon,mask_73_star_polygon,star_polygon,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_73_star_polygon.png,1.743066e-06,3.775e-08,6.76065e-06,1024,1024,13,amber,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_073_star_polygon_3964138268.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_073_star_polygon_3964138268.exr,20.709,1
74,b20260409_033055_074_ring_gap,mask_74_ring_gap,ring_gap,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_74_ring_gap.png,1.337238e-06,2.0633e-08,5.380304e-06,1024,1024,14,teal,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_074_ring_gap_4669433517.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_074_ring_gap_4669433517.exr,15.969,1
75,b20260409_033055_075_polygon_aperture,mask_75_polygon_aperture,polygon_aperture,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_75_polygon_aperture.png,1.263522e-06,2.3593e-08,3.93186e-06,1024,1024,9,cyan,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_075_polygon_aperture_8256174801.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_075_polygon_aperture_8256174801.exr,16.968,1
76,b20260409_033055_076_crescent,mask_76_crescent,crescent,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_76_crescent.png,8.40591e-07,3.1684e-08,8.705555e-06,1024,1024,13,daylight,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_076_crescent_6337146960.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_076_crescent_6337146960.exr,21.799,2
77,b20260409_033055_077_scratched_disc,mask_77_scratched_disc,scratched_disc,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_77_scratched_disc.png,1.651469e-06,2.2824e-08,9.15439e-06,1024,1024,11,blue_soft,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_077_scratched_disc_3274167321.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_077_scratched_disc_3274167321.exr,19.262,1
78,b20260409_033055_078_grid,mask_78_grid,grid,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_78_grid.png,8.65266e-07,1.5148e-08,1.0385579e-05,1024,1024,10,purple,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_078_grid_1244247964.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_078_grid_1244247964.exr,15.398,1
79,b20260409_033055_079_offset_occlusion,mask_79_offset_occlusion,offset_occlusion,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_79_offset_occlusion.png,1.127031e-06,3.3391e-08,8.784011e-06,1024,1024,12,white,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_079_offset_occlusion_5524712578.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_079_offset_occlusion_5524712578.exr,22.559,1
